frame_id,num_gt,num_detections,num_matched_gt,num_unmatched_gt,num_tp_dets,num_fp_dets
2,2,6,2,0,2,4
4,2,7,2,0,2,5
6,2,6,1,1,1,5
8,2,7,2,0,2,5
10,2,8,2,0,2,6
12,2,9,2,0,2,7
14,2,9,2,0,2,7
16,2,9,2,0,2,7
18,2,8,1,1,1,7
20,2,8,1,1,1,7
22,2,8,1,1,1,7
24,2,9,2,0,2,7
26,2,8,1,1,1,7
28,2,8,2,0,2,6
30,2,7,1,1,1,6
32,2,8,1,1,1,7
34,2,6,1,1,1,5
36,2,6,1,1,1,5
38,2,6,1,1,1,5
40,2,6,1,1,1,5
42,2,7,2,0,2,5
44,2,9,2,0,2,7
46,2,8,2,0,2,6
48,2,9,2,0,2,7
50,2,10,2,0,2,8
52,2,11,2,0,2,9
54,2,10,1,1,1,9
56,2,8,1,1,1,7
58,2,8,1,1,1,7
60,2,8,1,1,1,7
62,2,8,1,1,1,7
64,2,9,1,1,1,8
66,2,7,1,1,1,6
68,2,8,1,1,1,7
70,2,8,1,1,1,7
72,2,9,2,0,2,7
74,2,10,2,0,2,8
76,2,13,2,0,2,11
78,2,12,2,0,2,10
80,2,12,2,0,2,10
82,2,9,2,0,2,7
84,2,10,2,0,2,8
86,2,7,2,0,2,5
88,2,9,2,0,2,7
90,2,8,1,1,1,7
92,2,8,2,0,2,6
94,2,8,2,0,2,6
96,2,11,2,0,2,9
98,2,9,2,0,2,7
100,2,10,2,0,2,8
102,2,11,2,0,2,9
104,2,11,2,0,2,9
106,2,7,2,0,2,5
108,2,11,2,0,2,9
110,2,12,2,0,2,10
112,2,11,2,0,2,9
114,2,10,2,0,2,8
116,2,14,2,0,2,12
118,2,10,2,0,2,8
120,2,12,2,0,2,10
122,2,10,2,0,2,8
124,2,11,2,0,2,9
126,2,12,2,0,2,10
128,2,11,2,0,2,9
130,2,12,2,0,2,10
132,2,11,2,0,2,9
134,2,13,2,0,2,11
136,2,11,2,0,2,9
138,2,13,2,0,2,11
140,2,14,2,0,2,12
142,2,14,2,0,2,12
144,2,13,2,0,2,11
146,2,12,2,0,2,10
148,2,15,1,1,1,14
150,2,13,2,0,2,11
152,2,13,1,1,1,12
154,2,15,2,0,2,13
156,2,13,1,1,1,12
158,2,12,2,0,2,10
160,2,11,2,0,2,9
162,2,10,2,0,2,8
164,2,11,2,0,2,9
166,2,11,2,0,2,9
168,2,8,2,0,2,6
170,2,11,2,0,2,9
172,2,10,2,0,2,8
174,2,12,2,0,2,10
176,2,13,2,0,2,11
178,2,12,2,0,2,10
180,2,13,2,0,2,11
182,2,12,2,0,2,10
184,2,13,2,0,2,11
186,2,9,2,0,2,7
188,2,8,2,0,2,6
190,2,8,2,0,2,6
192,2,9,2,0,2,7
194,2,10,2,0,2,8
196,2,12,2,0,2,10
198,2,10,2,0,2,8
200,2,12,1,1,1,11
202,2,12,1,1,1,11
204,2,11,1,1,1,10
